id,entity
247,Nubia RedMagic 8S Pro 5G 12GB 256GB
248,Samsung Galaxy S23 Plus 8GB 256GB
249,realme C67 8GB 128GB
250,Xiaomi Redmi Note 12 Pro 4G
251,Nubia Red Magic 9 Pro
252,realme C53 8GB 256GB
253,Nokia 8210 4G 128MB
254,Samsung Galaxy Z Flip5 256GB
255,iPhone 15 Pro Max 1TB | Chính hãng VN/A
256,Xiaomi Redmi Note 12S
257,Samsung Galaxy Z Fold3 5G 256GB
258,Samsung Galaxy Z Fold5 12GB 256GB
259,TECNO SPARK 20C 4GB 128GB
260,POCO X5 5G 6GB 128GB - Chỉ có tại CellphoneS
261,Google Pixel 9 Pro
262,vivo V29E 8GB 256GB
263,Masstel Izi 15 4G
264,realme C51 4GB 128GB
265,Xiaomi Redmi Note 11S
266,Google Pixel 8 Pro
267,Honor Magic 5 Pro
268,Xiaomi Redmi K70
269,Xiaomi Redmi 12C 4GB 64GB
270,Honor Magic 6 Pro
271,ASUS ROG Phone 5S 16GB 256GB
272,vivo Y36 8GB 256GB
273,Xiaomi 15 Pro
274,OPPO Find X8 Ultra
275,Xiaomi 13 Ultra
276,ZTE Blade V50 Design 8GB 256GB
277,iPhone 14 Pro Max 512GB | Chính hãng VN/A
278,Xiaomi POCO M5 (6GB 128GB)
279,OPPO A98 5G
280,Xiaomi Redmi K70 Pro
281,Infinix Hot 50 Pro 8GB 256GB
282,Asus Rog phone 8 pro
283,BENCO V91 4GB 128GB
284,Sharp Aquos R8
285,realme C51 6GB 256GB
286,OPPO A3X
287,Honor X6
288,ZTE Blade V50 Design 8GB 128GB
289,vivo iQOO Z9
290,Google Pixel 9
291,vivo V23e
292,Honor 200 Pro
293,Honor X9B
294,Xiaomi POCO F4
295,realme C55 8GB 256GB
296,realme 11 8GB 128GB
297,OPPO A60
298,Samsung Galaxy M15 5G 
299,Nothing Phone 2
300, realme C55 6GB 128GB
301,Xiaomi Black Shark 5
302,Honor Magic V3
303,Xiaomi Redmi Note 11 Pro 5G
304,vivo X100 Pro
305,Samsung Galaxy A75
306,Redmi K60
307,OPPO Find X8 Pro 5G 16GB 512GB
308,Leitz Phone 1
309,Nothing Phone 3A Pro
310,Redmi K60 Pro 5G
311,Xiaomi Redmi Note 12T Pro
312,Samsung Galaxy M52 (5G)
313,Honor Magic 5
314,Samsung Galaxy S25 FE
315,Xiaomi Redmi K70e
316,Xiaomi Redmi Note 13 Turbo
317, Xiaomi 15T Pro 5G
318,Xiaomi Redmi K80 Pro
319, Xiaomi 15T 5G
320,realme GT Neo 5
321,OPPO Find N2
322,Xiaomi Mi 10 Ultra
323,Huawei P60 Pro
324,Huawei P60
325,Samsung Galaxy A24
326,OnePlus 13
327,POCO F6
328,Xiaomi Mix Alpha
329,Realme GT Neo 6
330,Honor X9
331,Motorola Razr 40 Ultra
332,realme C75X 8GB-128GB
333,Vivo iQOO 12
334,Samsung Galaxy A74
335,realme 14 5G
336,Xiaomi POCO C65
337,Honor 90 Lite
338,Realme GT Neo
339,OPPO Reno9 Pro
340,Realme GT Neo 5 SE
341,Samsung Galaxy Z Flip7
342,Redmi A2 2GB 32GB
343,Meizu 20 Pro
344,Google Pixel 5
345,Google Pixel 6
346,realme C63 8GB 128GB
347,realme Note 50
348,OPPO Find X7 Pro
349,Huawei Pura 70 Pro
350,Samsung Galaxy Buddy2
351,ViVo iQOO 10 Pro
352,Huawei Mate 60 Pro
353,Vivo Y56
354,ASUS ROG Phone 6 Mediatek
355,OPPO Find X7 5G 12GB 256GB
356,Xiaomi Mi 10T
357,Nothing Phone CMF 1 8GB 128GB
358,Itel A70
359,ASUS ROG Phone 4
360,Samsung Galaxy S25 Edge
361,Xiaomi Mix Fold 3
362,Samsung Galaxy S24FE 5G 8GB 256GB
363,Samsung Galaxy A16 5G 8GB 256GB
364,OPPO A97
365,Xiaomi Redmi Turbo 4
366,Xiaomi POCO F5 Pro
367,Google Pixel Fold
368,Xiaomi Redmi 10 (4GB - 64GB)
369,Xiaomi Redmi Note 13 8GB 256GB
370,Samsung A26 5G 8GB - 256GB
371,OPPO A56
372,Red Magic 7S Pro
373,vivo X90 Pro
374,vivo Y18
375,Xiaomi Mix Fold 4
376,realme 12 4G 8GB 256GB
377,Itel 8010 4G 
378,Xiaomi Redmi Note 13R Pro
379,Honor X40 5G
380,OPPO Reno12 5G (12GB 512GB)
381,ZTE Nubia Z60 Ultra
382,Infinix Note 30 Pro
383,Samsung A56 5G 12GB - 256GB
384,Xiaomi Poco F4 GT
385,huawei p60 art
386,Huawei Nova 10
387,Huawei P50 Pro
388,Nubia Red Magic 10
389,vivo iQOO Z9x
390,Xiaomi Civi 1S
391,Huawei Nova 11i
392,Samsung Galaxy M54 5G
393,Vivo X90 Pro Plus
394,Asus Rog Phone 8 ultimate
395,OnePlus Ace 3 Pro
396,Honor 90
397,realme 10 Pro Plus
398,Oneplus Ace 2 Pro
399,realme Narzo 50
400,Oneplus Nord N300
401,Huawei Mate XT Ultimate
402,OPPO Reno11 Pro 5G
403,Vivo Y66
404,realme GT6 Pro
405,Samsung Galaxy Z Flip5 512GB Line Friends - Chỉ có tại CellphoneS
406,Huawei Pura 70
407,Xiaomi Black Shark 6 Pro
408,Motorola Edge plus
409,vivo V30 Pro
410,Honor 200
411,HTC Wildfire E3 Lite
412,Honor 90 Pro
413,Honor X7
414,Google Pixel 6a
415,Samsung Galaxy A06 4GB 64GB
416,Huawei Mate 50 Pro
417,Honor X8A
418,vivo Y200 Pro
419,Samsung Galaxy Tab S10 FE 5G
420,vivo X Note
421,Xiaomi POCO C55
422,Xiaomi Mi MIX Fold 2
423,Nothing Phone 1
424,Realme V30t
425,Infinix HOT 50i 4GB 128GB
426,OPPO Find X6
427,Honor 200 Lite
428,Motorola Edge 40
429,Leitz Phone 2
430,Google Pixel 6 Pro
431,Oneplus Open
432,Masstel izi S3 4G
433,Oneplus 12
434,Samsung W22
435,Realme GT3
436,OPPO A1x
437,Asus ROG Phone 7 Pro
438,Realme Narzo 50i Prime
439,OPPO A58 8GB 256GB
440,vivo Y22
441,vivo S19
442,realme GT 7 
443,Vivo V27
444,OPPO A2m
445,Xiaomi Redmi K40 Pro+
446,OPPO Find X6 Pro
447,ViVo iQOO 10
448,Honor X5 Plus
449,OPPO Reno11 5G
450,ASUS ROG Phone 6D
